name,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl_l1,0.091 +/- 0.133,0.012 +/- 0.018,0.105 +/- 0.129,0.014 +/- 0.017,0.359 +/- 1.076,0.151 +/- 0.454,0.593 +/- 1.219,0.195 +/- 0.458,3.654 +/- 0.446,2.584 +/- 0.909,3.654 +/- 0.446,2.584 +/- 0.909,0.714 +/- 0.738,0.434 +/- 0.506,0.865 +/- 0.770,0.541 +/- 0.526,0.042 +/- 0.125,0.003 +/- 0.009,0.054 +/- 0.127,0.004 +/- 0.010,0.042 +/- 0.125,0.003 +/- 0.009,0.042 +/- 0.125,0.003 +/- 0.009,0.042 +/- 0.125,0.003 +/- 0.009,0.054 +/- 0.127,0.004 +/- 0.010,0.598 +/- 0.708,0.333 +/- 0.470,0.148 +/- 0.112,0.030 +/- 0.019,0.148 +/- 0.112,0.030 +/- 0.019
sl_l2,0.143 +/- 0.148,0.028 +/- 0.032,0.162 +/- 0.179,0.035 +/- 0.052,0.071 +/- 0.153,0.021 +/- 0.056,0.065 +/- 0.153,0.020 +/- 0.056,0.576 +/- 0.212,0.242 +/- 0.135,0.576 +/- 0.212,0.242 +/- 0.135,0.576 +/- 0.212,0.242 +/- 0.135,0.525 +/- 0.274,0.223 +/- 0.153,0.058 +/- 0.175,0.004 +/- 0.013,0.058 +/- 0.175,0.004 +/- 0.013,0.058 +/- 0.175,0.004 +/- 0.013,0.058 +/- 0.175,0.004 +/- 0.013,0.058 +/- 0.175,0.004 +/- 0.013,0.058 +/- 0.175,0.004 +/- 0.013,0.634 +/- 0.092,0.246 +/- 0.128,0.204 +/- 0.191,0.057 +/- 0.079,0.395 +/- 0.165,0.123 +/- 0.084
sl_dt,0.389 +/- 0.632,0.663 +/- 1.436,0.404 +/- 0.626,0.659 +/- 1.438,0.714 +/- 1.227,1.030 +/- 1.300,0.414 +/- 0.789,1.090 +/- 1.715,0.451 +/- 0.769,1.279 +/- 1.436,0.399 +/- 0.783,1.154 +/- 1.680,0.462 +/- 0.791,1.067 +/- 1.004,0.410 +/- 0.780,1.102 +/- 1.708,0.490 +/- 0.729,0.549 +/- 0.707,0.423 +/- 0.573,0.440 +/- 0.734,0.524 +/- 0.774,0.809 +/- 0.806,0.224 +/- 0.375,0.732 +/- 1.281,0.441 +/- 0.688,0.600 +/- 0.690,0.404 +/- 0.550,0.424 +/- 0.736,0.458 +/- 0.616,0.422 +/- 0.732,0.546 +/- 0.920,0.506 +/- 1.042,0.514 +/- 0.822,0.439 +/- 1.061
sl_rf,0.227 +/- 0.423,0.026 +/- 0.027,0.225 +/- 0.421,0.053 +/- 0.075,0.831 +/- 2.176,1.388 +/- 2.975,1.204 +/- 2.951,1.851 +/- 3.632,1.211 +/- 2.949,1.811 +/- 3.648,1.219 +/- 2.946,1.912 +/- 3.612,0.871 +/- 2.162,1.490 +/- 2.936,0.855 +/- 2.100,1.466 +/- 2.725,0.243 +/- 0.417,0.149 +/- 0.151,0.212 +/- 0.426,0.415 +/- 0.535,0.162 +/- 0.317,0.363 +/- 0.586,0.219 +/- 0.318,0.447 +/- 0.557,0.224 +/- 0.426,0.068 +/- 0.077,0.264 +/- 0.433,0.223 +/- 0.253,0.283 +/- 0.412,0.155 +/- 0.172,0.244 +/- 0.418,0.039 +/- 0.042,0.235 +/- 0.426,0.030 +/- 0.031
sl_et,0.135 +/- 0.224,0.116 +/- 0.099,0.134 +/- 0.225,0.114 +/- 0.101,0.736 +/- 1.956,1.782 +/- 3.398,0.786 +/- 2.150,1.902 +/- 3.544,0.804 +/- 2.144,1.909 +/- 3.534,0.809 +/- 2.143,1.993 +/- 3.504,0.650 +/- 1.681,1.771 +/- 3.163,0.656 +/- 1.718,1.703 +/- 2.986,0.136 +/- 0.219,0.208 +/- 0.144,0.255 +/- 0.391,0.671 +/- 1.211,0.139 +/- 0.225,0.260 +/- 0.245,0.343 +/- 0.533,0.920 +/- 1.265,0.131 +/- 0.222,0.173 +/- 0.134,0.275 +/- 0.442,0.830 +/- 1.353,0.551 +/- 1.218,0.708 +/- 1.732,0.154 +/- 0.213,0.118 +/- 0.138,0.160 +/- 0.211,0.082 +/- 0.079
sl_kr,0.249 +/- 0.269,0.255 +/- 0.191,0.154 +/- 0.105,0.295 +/- 0.257,1.359 +/- 3.510,2.794 +/- 5.574,1.621 +/- 3.807,2.888 +/- 6.259,4.747 +/- 2.710,5.629 +/- 5.128,4.747 +/- 2.710,5.629 +/- 5.128,1.569 +/- 1.543,2.275 +/- 2.716,1.649 +/- 1.779,2.712 +/- 4.044,0.086 +/- 0.076,0.262 +/- 0.298,0.534 +/- 1.248,1.096 +/- 2.160,0.075 +/- 0.089,0.370 +/- 0.376,0.307 +/- 0.592,0.832 +/- 1.303,0.243 +/- 0.487,0.888 +/- 1.962,0.343 +/- 0.723,0.745 +/- 1.184,0.987 +/- 0.570,1.129 +/- 0.802,0.248 +/- 0.305,0.274 +/- 0.249,0.401 +/- 0.275,0.340 +/- 0.191
sl_cb,0.110 +/- 0.069,0.142 +/- 0.181,0.128 +/- 0.061,0.168 +/- 0.221,0.589 +/- 1.428,0.763 +/- 1.574,0.547 +/- 1.441,0.724 +/- 1.590,1.108 +/- 1.252,1.219 +/- 1.374,1.108 +/- 1.252,1.219 +/- 1.374,1.108 +/- 1.252,1.219 +/- 1.374,1.108 +/- 1.252,1.219 +/- 1.374,0.020 +/- 0.039,0.075 +/- 0.190,0.229 +/- 0.633,0.579 +/- 1.380,0.030 +/- 0.052,0.095 +/- 0.195,0.276 +/- 0.643,0.671 +/- 1.448,0.030 +/- 0.044,0.066 +/- 0.190,0.229 +/- 0.633,0.579 +/- 1.380,0.737 +/- 0.394,0.734 +/- 0.299,0.136 +/- 0.121,0.215 +/- 0.272,0.353 +/- 0.196,0.375 +/- 0.228
sl_lgbm,0.087 +/- 0.125,0.146 +/- 0.291,0.088 +/- 0.124,0.147 +/- 0.291,0.099 +/- 0.094,0.122 +/- 0.105,0.087 +/- 0.080,0.077 +/- 0.101,0.081 +/- 0.075,0.106 +/- 0.095,0.089 +/- 0.078,0.080 +/- 0.097,0.081 +/- 0.075,0.106 +/- 0.095,0.088 +/- 0.080,0.083 +/- 0.098,0.169 +/- 0.278,0.170 +/- 0.251,0.083 +/- 0.077,0.092 +/- 0.110,0.169 +/- 0.282,0.155 +/- 0.256,0.097 +/- 0.093,0.116 +/- 0.147,0.171 +/- 0.280,0.171 +/- 0.249,0.090 +/- 0.087,0.113 +/- 0.154,0.100 +/- 0.100,0.086 +/- 0.089,0.086 +/- 0.086,0.083 +/- 0.078,0.087 +/- 0.087,0.081 +/- 0.077
tl_l1,0.153 +/- 0.101,0.031 +/- 0.047,0.153 +/- 0.101,0.031 +/- 0.047,1.586 +/- 3.475,1.978 +/- 4.969,1.605 +/- 3.312,2.469 +/- 5.048,4.483 +/- 2.320,4.941 +/- 4.008,4.483 +/- 2.320,4.941 +/- 4.008,1.153 +/- 0.476,1.205 +/- 1.216,1.435 +/- 1.027,2.414 +/- 3.275,0.041 +/- 0.085,0.073 +/- 0.081,0.382 +/- 0.421,0.936 +/- 1.545,0.051 +/- 0.089,0.053 +/- 0.062,0.404 +/- 0.372,1.043 +/- 1.425,0.050 +/- 0.089,0.062 +/- 0.062,0.351 +/- 0.390,0.915 +/- 1.471,1.016 +/- 0.534,1.287 +/- 1.273,0.179 +/- 0.113,0.139 +/- 0.103,0.283 +/- 0.110,0.122 +/- 0.089
tl_l2,0.122 +/- 0.100,0.081 +/- 0.097,0.118 +/- 0.102,0.059 +/- 0.066,0.125 +/- 0.201,0.168 +/- 0.132,0.181 +/- 0.162,0.107 +/- 0.134,0.240 +/- 0.145,0.112 +/- 0.140,0.251 +/- 0.144,0.105 +/- 0.117,0.240 +/- 0.145,0.112 +/- 0.140,0.251 +/- 0.144,0.105 +/- 0.117,0.052 +/- 0.100,0.169 +/- 0.117,0.098 +/- 0.064,0.089 +/- 0.125,0.051 +/- 0.100,0.170 +/- 0.117,0.113 +/- 0.065,0.094 +/- 0.142,0.056 +/- 0.102,0.177 +/- 0.142,0.110 +/- 0.065,0.084 +/- 0.125,0.247 +/- 0.147,0.098 +/- 0.119,0.134 +/- 0.104,0.082 +/- 0.107,0.180 +/- 0.091,0.077 +/- 0.115
tl_dt,0.247 +/- 0.197,0.384 +/- 0.464,0.247 +/- 0.199,0.389 +/- 0.455,0.242 +/- 0.266,0.644 +/- 0.613,0.265 +/- 0.385,0.966 +/- 1.534,0.536 +/- 0.738,1.356 +/- 1.408,0.339 +/- 0.352,1.199 +/- 1.497,0.535 +/- 0.738,1.368 +/- 1.403,0.289 +/- 0.374,1.000 +/- 1.518,0.229 +/- 0.191,0.603 +/- 0.633,0.319 +/- 0.526,0.925 +/- 1.417,0.224 +/- 0.207,0.548 +/- 0.165,0.380 +/- 0.572,0.906 +/- 1.205,0.215 +/- 0.127,0.629 +/- 0.658,0.270 +/- 0.427,0.687 +/- 1.099,0.293 +/- 0.326,0.633 +/- 0.812,0.163 +/- 0.160,0.425 +/- 0.602,0.225 +/- 0.245,0.380 +/- 0.376
tl_rf,0.082 +/- 0.103,0.046 +/- 0.024,0.076 +/- 0.099,0.035 +/- 0.020,0.086 +/- 0.115,0.088 +/- 0.064,0.217 +/- 0.372,1.328 +/- 2.202,0.225 +/- 0.288,0.399 +/- 0.706,0.222 +/- 0.364,1.364 +/- 2.169,0.225 +/- 0.288,0.399 +/- 0.706,0.216 +/- 0.371,1.328 +/- 2.206,0.062 +/- 0.045,0.173 +/- 0.150,0.217 +/- 0.282,0.916 +/- 1.434,0.066 +/- 0.052,0.160 +/- 0.148,0.176 +/- 0.294,0.947 +/- 1.476,0.065 +/- 0.076,0.562 +/- 1.374,0.184 +/- 0.294,0.894 +/- 1.508,0.095 +/- 0.095,0.448 +/- 0.896,0.050 +/- 0.038,0.059 +/- 0.039,0.036 +/- 0.040,0.057 +/- 0.032
tl_et,0.156 +/- 0.312,0.129 +/- 0.128,0.227 +/- 0.517,0.092 +/- 0.046,0.346 +/- 0.576,0.727 +/- 1.427,0.214 +/- 0.279,1.377 +/- 2.285,0.339 +/- 0.560,0.545 +/- 0.821,0.222 +/- 0.277,1.540 +/- 2.226,0.339 +/- 0.560,0.545 +/- 0.821,0.193 +/- 0.289,1.367 +/- 2.288,0.160 +/- 0.278,0.335 +/- 0.267,0.116 +/- 0.138,0.841 +/- 1.520,0.169 +/- 0.299,0.318 +/- 0.258,0.109 +/- 0.130,1.072 +/- 1.625,0.153 +/- 0.256,0.257 +/- 0.186,0.115 +/- 0.126,0.960 +/- 1.561,0.213 +/- 0.276,0.780 +/- 1.185,0.181 +/- 0.347,0.210 +/- 0.225,0.191 +/- 0.283,0.180 +/- 0.191
tl_kr,0.166 +/- 0.282,0.059 +/- 0.038,0.168 +/- 0.282,0.057 +/- 0.038,1.825 +/- 3.416,3.568 +/- 6.081,1.673 +/- 3.791,3.419 +/- 7.432,4.783 +/- 2.703,6.345 +/- 6.209,4.783 +/- 2.703,6.345 +/- 6.209,1.697 +/- 1.244,3.836 +/- 6.200,1.921 +/- 3.215,3.845 +/- 6.276,0.285 +/- 0.291,1.124 +/- 0.838,0.148 +/- 0.138,0.942 +/- 1.716,0.270 +/- 0.238,1.226 +/- 0.727,0.142 +/- 0.124,0.963 +/- 1.687,0.199 +/- 0.178,1.564 +/- 1.421,0.162 +/- 0.166,0.941 +/- 1.687,0.530 +/- 0.290,1.233 +/- 1.524,0.184 +/- 0.206,0.442 +/- 0.599,0.395 +/- 0.319,0.639 +/- 0.660
tl_cb,0.077 +/- 0.052,0.073 +/- 0.068,0.078 +/- 0.048,0.070 +/- 0.072,0.080 +/- 0.078,0.174 +/- 0.109,0.212 +/- 0.385,1.212 +/- 2.184,0.092 +/- 0.074,0.214 +/- 0.110,0.211 +/- 0.386,1.316 +/- 2.134,0.092 +/- 0.074,0.214 +/- 0.110,0.209 +/- 0.378,1.247 +/- 2.165,0.091 +/- 0.108,0.179 +/- 0.089,0.218 +/- 0.388,1.167 +/- 2.106,0.051 +/- 0.027,0.168 +/- 0.097,0.200 +/- 0.390,1.090 +/- 1.827,0.152 +/- 0.211,0.474 +/- 0.932,0.209 +/- 0.389,1.167 +/- 2.114,0.199 +/- 0.291,0.775 +/- 1.397,0.068 +/- 0.052,0.135 +/- 0.102,0.078 +/- 0.070,0.135 +/- 0.100
tl_lgbm,0.074 +/- 0.107,0.086 +/- 0.091,0.067 +/- 0.109,0.074 +/- 0.097,0.082 +/- 0.098,0.112 +/- 0.148,0.041 +/- 0.025,0.074 +/- 0.061,0.088 +/- 0.096,0.121 +/- 0.148,0.077 +/- 0.035,0.089 +/- 0.051,0.087 +/- 0.097,0.124 +/- 0.146,0.067 +/- 0.048,0.054 +/- 0.052,0.071 +/- 0.083,0.108 +/- 0.103,0.050 +/- 0.023,0.077 +/- 0.064,0.080 +/- 0.082,0.098 +/- 0.094,0.084 +/- 0.088,0.096 +/- 0.111,0.057 +/- 0.027,0.093 +/- 0.065,0.042 +/- 0.016,0.070 +/- 0.063,0.068 +/- 0.102,0.094 +/- 0.116,0.080 +/- 0.108,0.077 +/- 0.100,0.069 +/- 0.070,0.085 +/- 0.094
ipsws_l1,-,-,-,-,1.539 +/- 2.800,1.225 +/- 2.271,1.723 +/- 2.943,1.395 +/- 2.429,3.734 +/- 2.382,3.045 +/- 1.977,3.734 +/- 2.382,3.045 +/- 1.977,1.009 +/- 1.037,0.778 +/- 0.888,1.009 +/- 1.037,0.778 +/- 0.888,0.264 +/- 0.351,0.176 +/- 0.251,0.251 +/- 0.358,0.171 +/- 0.254,0.257 +/- 0.344,0.171 +/- 0.247,0.259 +/- 0.342,0.172 +/- 0.246,0.264 +/- 0.351,0.176 +/- 0.251,0.251 +/- 0.358,0.171 +/- 0.254,0.792 +/- 0.814,0.581 +/- 0.631,0.621 +/- 0.766,0.466 +/- 0.592,0.748 +/- 0.776,0.537 +/- 0.607
